一|one
典|code, ceremony, law, rule
冷|cool, cold (beer, person), chill
初|first time, beginning
別|separate, branch off, diverge, fork, another, extra, specially
利|profit, advantage, benefit
刷|printing, print
副|vice-, duplicate, copy
功|achievement, merits, success, honor, credit
加|add, addition, increase, join, include, Canada
努|toil, diligent, as much as possible
労|labor, thank for, reward for, toil, trouble
勇|courage, cheer up, be in high spirits, bravery, heroism
包|wrap, pack up, cover, conceal
卒|graduate, soldier, private, die
協|co-, cooperation
単|simple, one, single, merely
博|Dr., command, esteem, win acclaim, Ph.D., exposition, fair
印|stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India
参|nonplussed, three, going, coming, visiting, visit, be defeated, die, be madly in love
史|history, chronicle
司|director, official, govt office, rule, administer
各|each, every, either
告|revelation, tell, inform, announce
周|circumference, circuit, lap
唱|chant, recite, call upon, yell
喜|rejoice, take pleasure in
器|utensil, vessel, receptacle, implement, instrument, ability, container, tool, set
囲|surround, besiege, store, paling, enclosure, encircle, preserve, keep
固|harden, set, clot, curdle
型|mould, type, model
堂|public chamber, hall
塩|salt
士|gentleman, samurai
変|unusual, change, strange
夫|husband, man
失|lose, error, fault, disadvantage, loss
好|fond, pleasing, like something
季|seasons
孫|grandchild, descendants
完|perfect, completion, end
官|bureaucrat, the government
害|harm, injury
察|guess, presume, surmise, judge, understand
巣|nest, rookery, hive, cobweb, den
差|distinction, difference, variation, discrepancy, margin, balance
希|hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal
席|seat, mat, occasion, place
帯|sash, belt, obi, zone, region
底|bottom, sole, depth, bottom price, base, kind, sort
府|borough, urban prefecture, govt office, representative body, storehouse
康|ease, peace
建|build
径|diameter, path, method
徒|junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people
得|gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit
必|invariably, certain, inevitable
念|wish, sense, idea, thought, feeling, desire, attention
愛|love, affection, favourite
成|turn into, become, get, grow, elapse, reach
戦|war, battle, match
折|fold, break, fracture, bend, yield, submit
挙|raise, plan, project, behavior, actions
改|reformation, change, modify, mend, renew, examine, inspect, search
救|salvation, save, help, rescue, reclaim
敗|failure, defeat, reversal
散|scatter, disperse, spend, squander
料|fee, materials
旗|national flag, banner, standard
昨|yesterday, previous
景|scenery, view
最|utmost, most, extreme
望|ambition, full moon, hope, desire, aspire to, expect
未|un-, not yet, hitherto, still, even now
末|not yet, end, close, tip, powder, posterity
札|tag, paper money, no. of bonds, placard, bid
材|lumber, log, timber, wood, talent
束|bundle, sheaf, ream, tie in bundles, govern, manage, control
松|pine tree
果|fruit, reward, carry out, achieve, complete, end, finish, succeed
栄|flourish, prosperity, honor, glory, splendor
案|plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry
梅|plum
械|contraption, fetter, machine, instrument
極|poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48
標|signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target
機|mechanism, opportunity, occasion, machine, airplane
欠|lack, gap, fail, yawn
歴|curriculum, continuation, passage of time
残|remainder, leftover, balance
殺|kill, murder, butcher, slice off, split, diminish, reduce, spoil
毒|poison, virus, venom, germ, harm, injury, spite
氏|family name, surname, clan
民|people, nation, subjects
求|request, want, wish for, require, demand
治|reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve
法|method, law, rule, principle, model, system
泣|cry, weep, moan
浅|shallow, superficial, frivolous, wretched, shameful
浴|bathe, be favored with, bask in
清|pure, purify, cleanse, exorcise, Manchu dynasty
満|full, enough, pride, satisfy
漁|fishing, fishery
灯|lamp, a light, light, no. of lights
無|nothingness, none, ain't, nothing, nil, not
然|sort of thing, so, if so, in that case, well
焼|bake, burning
照|illuminate, shine, compare, bashful
熱|heat, temperature, fever, mania, passion
牧|breed, care for, shepherd, feed, pasture
特|special
産|products, bear, give birth, yield, childbirth, native, property
的|bull's eye, mark, target, object, adjective ending
省|focus, government ministry, conserve
祝|celebrate, congratulate
票|ballot, label, ticket, sign
種|species, kind, class, variety, seed
積|volume, product (x*y), acreage, contents, pile up, stack, load, amass
競|emulate, compete with, bid, sell at auction, bout, contest, race
笑|laugh
管|pipe, tube, wind instrument, drunken talk
節|node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody
粉|flour, powder, dust
紀|chronicle, account, narrative, history, annals, geologic period
約|promise, approximately, shrink
結|tie, bind, contract, join, organize, do up hair, fasten
給|salary, wage, gift, allow, grant, bestow on
続|continue, series, sequel
置|placement, put, set, deposit, leave behind, keep, employ, pawn
老|old man, old age, grow old
胃|stomach, paunch, crop, craw
脈|vein, pulse, hope
腸|intestines, guts, bowels, viscera
臣|retainer, subject
航|navigate, sail, cruise, fly
良|good, pleasing, skilled
芸|technique, art, craft, performance, acting, trick, stunt
芽|bud, sprout, spear, germ
英|England, English
菜|vegetable, side dish, greens
街|boulevard, street, town
衣|garment, clothes, dressing
要|need, main point, essence, pivot, key to
覚|memorize, learn, remember, awake, sober up
観|outlook, look, appearance, condition, view
訓|instruction, Japanese character reading, explanation, read
試|test, try, attempt, experiment, ordeal
説|rumor, opinion, theory
課|chapter, lesson, section, department, division, counter for chapters (of a book)
議|deliberation, consultation, debate, consideration
象|elephant, pattern after, imitate, image, shape, sign (of the times)
貨|freight, goods, property
貯|savings, store, lay in, keep, wear mustache
費|expense, cost, spend, consume, waste
賞|prize, reward, praise
軍|army, force, troops, war, battle
輪|wheel, ring, circle, link, loop, counter for wheels and flowers
辞|resign, word, term, expression
辺|environs, boundary, border, vicinity, (kokuji)
連|take along, lead, join, connect, party, gang, clique
達|accomplished, reach, arrive, attain
選|elect, select, choose, prefer
郡|county, district
量|quantity, measure, weight, amount
録|record
鏡|mirror, speculum, barrel-head, round rice-cake offering
関|connection, barrier, gateway, involve, concerning
陸|land
隊|regiment, party, company, squad
静|quiet
順|obey, order, turn, right, docility, occasion
願|petition, request, vow, wish, hope
類|sort, kind, variety, class, genus
飛|fly, skip (pages, scatter
飯|meal, boiled rice
養|foster, bring up, rear, develop, nurture
験|verification, effect, testing
久|long time, old story
仏|Buddha, the dead, France
仮|sham, temporary, interim, assumed (name), informal
件|affair, case, matter, item
任|responsibility, duty, term, entrust to, appoint
似|becoming, resemble, counterfeit, imitate, suitable
余|too much, myself, surplus, other, remainder
価|value, price
保|protect, guarantee, keep, preserve, sustain, support
修|discipline, conduct oneself well, study, master
俵|bag, bale, sack, counter for bags
個|individual, counter for articles and ilitary units
備|equip, provision, preparation
像|statue, picture, image, figure, portrait
再|again, twice, second time
刊|publish, carve, engrave
判|judgement, signature, stamp, seal
制|system, law, rule
券|ticket
則|rule, follow, based on, model after
効|merit, efficacy, efficiency, benefit
務|task, duties
勢|forces, energy, military strength
厚|thick, heavy, rich, kind, cordial, brazen, shameless
句|phrase, clause, sentence, passage, paragraph, counter for haiku
可|can, passable, mustn't, should not, do not
営|occupation, camp, perform, build, conduct (business)
因|cause, factor, be associated with, depend on, be limited to
団|group, association
圧|pressure, push, overwhelm, oppress, dominate
在|exist, outskirts, suburbs, located in
均|level, average
基|fundamentals, radical (chem), counter for machines, foundation
報|report, news, reward, retribution
境|boundary, border, region
墓|grave, tomb
増|increase, add, augment, gain, promote
夢|dream, vision, illusion
妻|wife, spouse
婦|lady, woman, wife, bride
容|contain, form, looks
寄|draw near, stop in, bring near, gather, collect, send, forward
富|wealth, enrich, abundant
導|guidance, leading, conduct, usher
居|reside, to be, exist, live with
属|belong, genus, subordinate official, affiliated
布|linen, cloth
師|expert, teacher, master, army, war
常|usual, ordinary, normal, regular
幹|tree-trunk
序|preface, beginning, order, precedence, occasion, chance, incidentally
弁|valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish
張|lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)
往|journey, chase away, let go, going, travel
復|restore, return to, revert, resume
徳|benevolence, virtue, goodness, commanding respect
志|intention, plan, resolve, aspire, motive, hopes, shilling
応|apply, answer, yes, OK, reply, accept
快|cheerful, pleasant, agreeable, comfortable
性|sex, gender, nature
恩|grace, kindness, goodness, favor, mercy, blessing, benefit
情|feelings, emotion, passion, sympathy, circumstances, facts
態|attitude, condition, figure, appearance, voice (of verbs)
慣|accustomed, get used to, become experienced
承|aquiesce, hear, listen to, be informed, receive
技|skill, art, craft, ability, feat, performance, vocation, arts
招|beckon, invite, summon, engage
授|impart, instruct, grant, confer
採|pick, take, fetch, take up
接|touch, contact, adjoin, piece together
提|propose, take along, carry in hand
損|damage, loss, disadvantage, hurt, injure
支|branch, support, sustain
政|politics, government
故|happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently
敵|enemy, foe, opponent
断|severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting
旧|old times, old things, old friend, former, ex-
易|easy, fortune-telling, ready to, simple, divination
暴|outburst, rave, fret, force, violence, cruelty, outrage
条|article, clause, item, stripe, streak
枝|bough, branch, twig, limb
査|investigate
格|status, rank, capacity, character, case (law, grammar)
桜|cherry tree
検|examination, investigate
構|posture, build, pretend
武|warrior, military, chivalry, arms
比|compare, race, ratio, Phillipines
永|eternity, long, lengthy
河|river
液|fluid, liquid, juice, sap, secretion
混|mix, blend, confuse
減|dwindle, decrease, reduce, decline, curtail, get hungry
測|fathom, plan, scheme, measure
準|semi-, correspond to, proportionate to, conform, imitate
演|performance, act, play, render, stage
潔|undefiled, pure, clean, righteous, gallant
災|disaster, calamity, woe, curse, evil
燃|burn, blaze, glow
版|printing block, printing plate, edition, impression, label
犯|crime, sin, offense
状|status quo, conditions, circumstances, form, appearance
独|single, alone, spontaneously, Germany
率|ratio, rate, proportion, %, coefficient, factor
現|present, existing, actual
留|detain, fasten, halt, stop
略|abbreviation, omission, outline, shorten, capture, plunder
益|benefit, gain, profit, advantage
眼|eyeball
破|rend, rip, tear, break, destroy, defeat, frustrate
確|assurance, firm, tight, hard, solid, confirm, clear, evident
示|show, indicate, point out, express, display
祖|ancestor, pioneer, founder
禁|prohibition, ban, forbid
移|shift, move, change, drift, catch (cold, fire), pass into
程|extent, degree, law, formula, distance, limits, amount
税|tax, duty
築|fabricate, build, construct
精|refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill
素|elementary, principle, naked, uncovered
経|sutra, longitude, pass thru, expire, warp
統|overall, relationship, ruling, governing
絶|discontinue, beyond, sever, cut off, abstain, interrupt, suppress
綿|cotton
総|general, whole, all, full, total
編|compilation, knit, plait, braid, twist, editing, completed poem, part of a book
績|exploits, unreeling cocoons
織|weave, fabric
罪|guilt, sin, crime, fault, blame, offense
群|flock, group, crowd, herd, swarm, cluster
義|righteousness, justice, morality, honor, loyalty, meaning
耕|till, plow, cultivate
職|post, employment, work
肥|fertilizer, get fat, fertile, manure, pamper
能|ability, talent, skill, capacity
興|entertain, revive, retrieve, interest, pleasure
舌|tongue, reed, clapper
舎|cottage, inn, hut, house, mansion
術|art, technique, skill, means, trick, resources, magic
衛|defense, protection
製|made in..., manufacture
複|duplicate, double, compound, multiple
規|standard, measure
解|unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute
設|establishment, provision, prepare
許|permit, approve
証|evidence, proof, certificate
評|evaluate, criticism, comment
講|lecture, club, association
謝|apologize, thank, refuse
識|discriminating, know, write
護|safeguard, protect
豊|bountiful, excellent, rich
財|property, money, wealth, assets
貧|poverty, poor
責|blame, condemn, censure
貸|lend
貿|trade, exchange
賀|congratulations, joy
資|assets, resources, capital, funds, data, be conducive to, contribute to
賛|approve, praise, title or inscription on picture, assist, agree with
質|substance, quality, matter, temperament
輸|transport, send, be inferior
述|mention, state, speak, relate
迷|astray, be perplexed, in doubt, lost, err, illusion
退|retreat, withdraw, retire, resign, repel, expel, reject
逆|inverted, reverse, opposite, wicked
造|create, make, structure, physique
過|overdo, exceed, go beyond, error
適|suitable, occasional, rare, qualified, capable
酸|acid, bitterness, sour, tart
鉱|mineral, ore
銅|copper
銭|coin, .01 yen, money
防|ward off, defend, protect, resist
限|limit, restrict, to best of ability
険|precipitous, inaccessible place, impregnable position, steep place, sharp eyes
際|occasion, side, edge, verge, dangerous, adventurous, indecent, time, when
雑|miscellaneous
非|un-, mistake, negative, injustice, non-
預|deposit, custody, leave with, entrust to
領|jurisdiction, dominion, territory, fief, reign
額|forehead, tablet, plaque, framed picture, sum, amount, volume
飼|domesticate, raise, keep, feed
並|row, and, besides, as well as, line up, rank with, rival, equal
乱|riot, war, disorder, disturb
乳|milk, breasts
亡|deceased, the late, dying, perish
仁|humanity, virtue, benevolence, charity, man, kernel
供|submit, offer, present, serve (meal), accompany
俳|haiku, actor
値|price, cost, value
傷|wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point
優|tenderness, excel, surpass, actor, superiority, gentleness
党|party, faction, clique
冊|tome, counter for books, volume
処|dispose, manage, deal with, sentence, condemn, act, behave
刻|engrave, cut fine, chop, hash, mince, time, carving
割|proportion, comparatively, divide, cut, separate, split
創|genesis, wound, injury, hurt, start, originate
劇|drama, play
勤|diligence, become employed, serve
危|dangerous, fear, uneasy
卵|egg, ovum, spawn, roe
厳|stern, strictness, severity, rigidity
収|income, obtain, reap, pay, supply, store
后|empress, queen, after, behind, back, later
否|negate, no, noes, refuse, decline, deny
吸|suck, imbibe, inhale, sip
呼|call, call out to, invite
善|virtuous, good, goodness
困|quandary, become distressed, annoyed
垂|droop, suspend, hang, slouch
城|castle
域|range, region, limits, stage, level
奏|play music, speak to a ruler, complete
奮|stirred up, be invigorated, flourish
姿|figure, form, shape
存|suppose, be aware of, believe, feel
孝|filial piety, child's respect
宅|home, house, residence, our house, my husband
宇|eaves, roof, house, heaven
宗|religion, sect, denomination, main point, origin, essence
宙|mid-air, air, space, sky, memorization, interval of time
宝|treasure, wealth, valuables
宣|proclaim, say, announce
密|secrecy, density (pop), minuteness, carefulness
寸|measurement, foot/10
専|specialty, exclusive, mainly, solely
射|shoot, shine into, onto, archery
将|leader, commander, general, admiral, or, and again, soon, from now on, just about
尊|revered, valuable, precious, noble, exalted
就|concerning, settle, take position, depart, study, per
尺|shaku, Japanese foot, measure, scale, rule
届|deliver, reach, arrive, report, notify, forward
展|unfold, expand
層|stratum, social class, layer, story, floor
己|self, snake, serpent
巻|scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (on book scrolls)
幕|curtain, bunting, act of play
干|dry, parch
幼|infancy, childhood
庁|government office
座|squat, seat, cushion, gathering, sit
延|prolong, stretching
律|rhythm, law, regulation, gauge, control
従|accompany, obey, submit to, comply, follow, secondary, incidental, subordinate
忘|forget
忠|loyalty, fidelity, faithfulness
憲|constitution, law
我|ego, I, selfish, our, oneself
批|criticism, strike
担|shouldering, carry, raise, bear
拝|worship, adore, pray to
拡|broaden, extend, expand, enlarge
捨|discard, throw away, abandon, resign, reject, sacrifice
探|grope, search, look for
推|conjecture, infer, guess, suppose, support
揮|brandish, wave, wag, swing, shake
操|maneuver, manipulate, operate, steer, chastity, virginity, fidelity
敬|awe, respect, honor, revere
映|reflect, reflection, projection
晩|nightfall, night
暖|warmth
暮|livelihood, make a living, spend time
朗|melodious, clear, bright, serene, cheerful
机|desk, table
枚|sheet of..., counter for flat thin objects or sheets
染|dye, color, paint, stain, print
株|stocks, stump, shares, stock, counter for small plants
棒|rod, stick, cane, pole, club, line
模|imitation, copy, mock
権|authority, power, rights
樹|timber trees, wood
欲|longing, covetousness, greed, passion, desire, craving
段|grade, steps, stairs
沿|run alongside, follow along, run along, lie along
泉|spring, fountain
洗|wash, inquire into, probe
派|faction, group, party, clique, sect, school
済|finish, come to an end, excusable, need not
源|source, origin
潮|tide, salt water, opportunity
激|violent, get excited, enraged, chafe, incite
灰|ashes, puckery juice, cremate
熟|mellow, ripen, mature, acquire skill
